"GEOID","county","state","variable","estimate","total","casepercap"
"26027","Cass","Michigan","pop",6500,2276,35015.3846153846
"27021","Cass","Minnesota","pop",10500,1480,14095.2380952381
"29037","Cass","Missouri","pop",9500,3869,40726.3157894737
"31025","Cass","Nebraska","pop",4400,1207,27431.8181818182
"38017","Cass","North Dakota","pop",15000,16966,113106.666666667
"48067","Cass","Texas","pop",2700,752,27851.8518518519
"16031","Cassia","Idaho","pop",2600,2170,83461.5384615385
"48069","Castro","Texas","pop",800,472,59000
"37033","Caswell","North Carolina","pop",1900,854,44947.3684210526
"37035","Catawba","North Carolina","pop",11000,7052,64109.0909090909
"13047","Catoosa","Georgia","pop",3500,2157,61628.5714285714
"35003","Catron","New Mexico","pop",250,37,14800
"36009","Cattaraugus","New York","pop",14500,1164,8027.58620689655
"38019","Cavalier","North Dakota","pop",800,377,47125
"36011","Cayuga","New York","pop",12000,917,7641.66666666667
"24015","Cecil","Maryland","pop",7300,2158,29561.6438356164
"19031","Cedar","Iowa","pop",3000,1111,37033.3333333333
"29039","Cedar","Missouri","pop",1100,447,40636.3636363636
"31027","Cedar","Nebraska","pop",2200,399,18136.3636363636
"42027","Centre","Pennsylvania","pop",16500,6398,38775.7575757576
"19033","Cerro Gordo","Iowa","pop",4700,3625,77127.6595744681
"08015","Chaffee","Colorado","pop",1500,663,44200
"01017","Chambers","Alabama","pop",2600,1827,70269.2307692308
"48071","Chambers","Texas","pop",2100,2075,98809.5238095238
"17019","Champaign","Illinois","pop",18500,11030,59621.6216216216
"39021","Champaign","Ohio","pop",4200,1123,26738.0952380952
"29041","Chariton","Missouri","pop",1600,243,15187.5
"51036","Charles City","Virginia","pop",1800,145,8055.55555555556
"24017","Charles","Maryland","pop",11000,4436,40327.2727272727
"46023","Charles Mix","South Dakota","pop",2100,892,42476.1904761905
"45019","Charleston","South Carolina","pop",26000,20052,77123.0769230769
"26029","Charlevoix","Michigan","pop",6200,691,11145.1612903226
"12015","Charlotte","Florida","pop",11000,5150,46818.1818181818
"51037","Charlotte","Virginia","pop",1300,285,21923.0769230769
"13049","Charlton","Georgia","pop",1000,807,80700
"20017","Chase","Kansas","pop",600,187,31166.6666666667
"31029","Chase","Nebraska","pop",650,270,41538.4615384615
"13051","Chatham","Georgia","pop",19500,11018,56502.5641025641
"37037","Chatham","North Carolina","pop",4700,2378,50595.7446808511
"13053","Chattahoochee","Georgia","pop",1300,2030,156153.846153846
"13055","Chattooga","Georgia","pop",2400,1273,53041.6666666667
"20019","Chautauqua","Kansas","pop",850,81,9529.41176470588
"36013","Chautauqua","New York","pop",16500,1609,9751.51515151515
"35005","Chaves","New Mexico","pop",4700,5067,107808.510638298
"47021","Cheatham","Tennessee","pop",3300,1685,51060.6060606061
"26031","Cheboygan","Michigan","pop",5100,519,10176.4705882353
"53007","Chelan","Washington","pop",4900,3663,74755.1020408163
"36015","Chemung","New York","pop",8400,3109,37011.9047619048
"36017","Chenango","New York","pop",7700,649,8428.57142857143
"01019","Cherokee","Alabama","pop",2200,1051,47772.7272727273
"13057","Cherokee","Georgia","pop",11500,10933,95069.5652173913
"19035","Cherokee","Iowa","pop",2000,918,45900
"20021","Cherokee","Kansas","pop",2100,1151,54809.5238095238
"37039","Cherokee","North Carolina","pop",2200,946,43000
"40021","Cherokee","Oklahoma","pop",5600,2354,42035.7142857143
"45021","Cherokee","South Carolina","pop",3700,2142,57891.8918918919
"48073","Cherokee","Texas","pop",4100,1756,42829.2682926829
"31031","Cherry","Nebraska","pop",850,189,22235.2941176471
"33005","Cheshire","New Hampshire","pop",8500,586,6894.11764705882
"42029","Chester","Pennsylvania","pop",47000,12421,26427.6595744681
"45023","Chester","South Carolina","pop",2800,1591,56821.4285714286
"47023","Chester","Tennessee","pop",1300,1044,80307.6923076923
"45025","Chesterfield","South Carolina","pop",3700,1764,47675.6756756757
"51041","Chesterfield","Virginia","pop",24000,9443,39345.8333333333
"08017","Cheyenne","Colorado","pop",500,63,12600
"20023","Cheyenne","Kansas","pop",600,208,34666.6666666667
"31033","Cheyenne","Nebraska","pop",1500,541,36066.6666666667
"19037","Chickasaw","Iowa","pop",2100,883,42047.6190476191
"28017","Chickasaw","Mississippi","pop",1500,1094,72933.3333333333
"05017","Chicot","Arkansas","pop",1100,1195,108636.363636364
"48075","Childress","Texas","pop",600,830,138333.333333333
"01021","Chilton","Alabama","pop",3100,2289,73838.7096774194
